"TradXML","FieldRef","FieldID","InfoItem","InfoItemCount","InfoItemsVary","Mnemonic","Description","CondCode","DataType","MinLength","MaxLength","MinOccur","MaxOccur","SpecialChar","NonPrintChar","ContentType","CodeTable","CodeTableOpt","ValueRange","RegExpression","DependPresenceReq","DependPresenceOpt","DependAbsence","DependValue","DependValueReq","DependValueOpt","DependOther","InterFieldOccur","InterFieldCount","InterFieldValue","InterFieldOther","Exception","Summary","TechNotes","Example","XML Tag Name","XML Namespace","Base Type","XMLPath","Notes","OpenIssues","Content Constraints","Format Constraints","Invalid Example"
"X","1/CNT/REC_1/CNT/IDC","[01.003-C_01.003-D]","","","","","Content Record Summary (XML)","M","","","","1","*","","","Set_X","","","","","","","","","","","","","","","","","A summary of the contents of each record in the transaction other than the Type 1 transaction record. There should be an instance of this for every transaction record type other than Type 1. (number of occurrences = number of records in the transaction minus 1).","","                <biom:ContentRecordSummary>
                     <biom:ImageReferenceIdentification>
                         <nc:IdentificationID>0</nc:IdentificationID>
                     </biom:ImageReferenceIdentification>
                     <biom:RecordCategoryCode>2</biom:RecordCategoryCode>
                 </biom:ContentRecordSummary>","biom:ContentRecordSummary","http://niem.gov/niem/biometrics/1.0","biom:ContentRecordSummaryType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionContentSummary/biom:ContentRecordSummary","Applies to 1.003-C and 1.003-D","","","",""
"T","1/CNT/REC:T","[01.003-C:T]","C","",">=2","REC","Record Category Code","M^","N","1","2","1","1","","","Data_T","REC","","{>1}","","","","","","","","","","[1/CNT/CRC]","","","","A kind of record. For example, 2 for Type-2; 14 for Type-14.","","2","","","","","","","","",""
"X","1/CNT/REC:X","[01.003-C:X]","C","","","REC","Record Category Code (XML)","M^","N","1","2","1","1","","","Data_X","REC","","{>1}","","","","","","","","","","","","","","A numeric value describing the kind of record. For example, 2 for Type-2; 14 for Type-14.","","<biom:RedordCategoryCode>2</biom:RedordCategoryCode>","biom:RecordCategoryCode","http://niem.gov/niem/biometrics/1.0","biom:RecordCategoryCodeType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionContentSummary/biom:ContentRecordSummary/biom:RecordCategoryCode","","","","",""
"T","1/CNT/IDC:T","[01.003-D:T]","D","",">=2","IDC","Information Designation Character","M^","N","1","2","1","1","","","Data_T","","","{0..99}","","","","","","","","","","[1/CNT/CRC]","","","","IDC for associated record in 1.003-C.","","00","","","","","Each of the records present in a transaction, with the exception of the Type-1 record, shall include a field (xx.002) containing the information designation character / IDC. 
• Most frequently, IDCs are used to link a particular finger/palm/plantar image (in a Type - 4, 13, 14, 15, 19 record) with the corresponding Type-9 minutiae record.
• Two or more image records may share a single IDC only when they are enhancements of a single image; such transformations shall have identical dimensions, and shall not be distorted with respect to each other (i.e., a feature at a given position in one image shall be in the same position in the other image).","","","",""
"X","1/CNT/IDC:X","[01.003-D:X]","D","","","IDC","Information Designation Character (XML)","M^","N","1","2","1","1","","","Data_X","","","{0..99}","","","","","","","","","","","","","","IDC for associated record in 1.003-C.","","<biom:ImageReferenceIdentification>
    <nc:IdentificationID>0</nc:IdentificationID>
</biom:ImageReferenceIdentification>","biom:ImageReferenceIdentification","http://niem.gov/niem/biometrics/1.0","niem-xsd:string","itl:PackageInformationRecord/biom:Transaction/biom:TransactionContentSummary/biom:ContentRecordSummary/biom:ImageReferenceIdentification/nc:IdentificationID","Each of the records present in a transaction, with the exception of the Type-1 record, shall include a field (xx.002) containing the corresponding information designation character / IDC.
\begin{itemize} 
\item Most frequently, IDCs are used to link a particular finger/palm/plantar image (in a Type - 4, 13, 14, 15, 19 records) with the corresponding Type-9 minutiae record.
\item In ANSI/NIST umbrella implementation, two or more image records may share a single IDC only when they are enhancements of a single image; such transformations shall have identical dimensions, and shall not be distorted with respect to each other (i.e., a feature at a given position in one image shall be in the same position in the other image).

Such a thing (sharing a single IDC) is not possible in INTERPOL’s implementation. 
\end{itemize}","","","",""
"TX","1/TOT","[01.004]","","","","TOT","Type of Transaction","M","AS","3","3","1","1","","\s","Data","TOT","","","","","","","","","","","","","","","","Type of Transaction (TOT) identifier (in accordance with definitions provided by the domain or application profile).","","<int-i:TransactionCategoryCode>ATP</int-i:TransactionCategoryCode>","int-i:TransactionCategoryCode","http://interpol.int/int-i/1.0","int-i:TransactionCategoryCodeType","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionCategoryCode","","","","",""
"T","1/DAT:T","[01.005:T]","","","","DAT","Date","M","N","8","8","1","1","","","Data_T","","","","","","","","","","","","","","","","","Local date that the transaction was submitted (yyyymmdd).","","20080327","","","","","","","","",""
"X","1/DAT:X","[01.005:X]","","","","DAT","Date (XML)","M","NS","10","20","1","1","[-]","","Data_X","","","","\d{4}-\d{2}-\d{2}(T\d{2}:\d{2}:\d{2}(Z){0,1}){0,1}","","","","","","","","","","","","","Local date (and time) that the transaction was submitted.","","<biom:TransactionDate>
    <nc:Date>2007-01-01</nc:Date>
</biom:TransactionDate>
or
<biom:TransactionDate>
     <nc:DateTime>2007-01-01T01:02:03Z</nc:DateTime>
</biom:TransactionDate>","biom:TransactionDate","http://niem.gov/niem/biometrics/1.0","niem-xsd:dateTime
niem-xsd:date","itl:PackageInformationRecord/biom:Transaction/biom:TransactionDate/nc:Date
or
itl:PackageInformationRecord/biom:Transaction/biom:TransactionDate/nc:DateTime","The date (and time) format should follow the ISO 8601 standard.","","","","<biom:TransactionDate>
    <nc:DateTime>2017-07-26T16:48</nc:DateTime>
</biom:TransactionDate>
or
<biom:TransactionDate>
    <nc:DateTime>2017-07-26T16:48:52+02:00</nc:DateTime>
</biom:TransactionDate>
or
<biom:Transactionate>
    <nc:DateTime><22017-07-26T16:48:52.023/nc:DateTime>
</biom:TransactionDate>"
"TX","1/PRY","[01.006]","","","","PRY","Priority","O","N","1","1","0","1","","","Data","","","{1..9}","","","","","","","","","","","","","","The urgency with which transaction response is desired. ","","<biom:TransactionPriorityValue>1</biom:TransactionPriorityValue>","biom:TransactionPriorityValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:nonNegativeInteger","itl:PackageInformationRecord/biom:Transaction/biom:TransactionPriorityValue","Priority is optional element and is used to assign a desired priority for the processing of the relevant transaction. The priority is a numeric value from 1 to 9, with 1 denoting the highest priority. If no priority element  is assigned then the receiving systems should use a default priority, as agreed between the parties. 



The priority value would be assigned by the initiator of any request transaction. The ideal behaviour is for the receiver of the request transaction to echo the priority field and associated priority value (as assigned in the request) in any associated response transactions (even if the transaction has been processed at a default priority).","","","",""
"X","1/DAI_1/ANM/DAN","[01.007_01.017-C]","","","","","Transaction Destination Organization (XML)","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","The administration or organization designated to receive the transmission.","","<int-i:TransactionDestinationOrganization>
   <nc:OrganizationName>BKA</nc:OrganizationName>
   <int-i:LocationCountryISO3166Alpha3Code>DEU</int-i:LocationCountryISO3166Alpha3Code>
</int-i:TransactionDestinationOrganization>","int-i:TransactionDestinationOrganization","http://interpol.int/int-i/1.0","int-i:TransactionOrganizationType","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionDestinationOrganization","","","","",""
"TX","1/DAI","[01.007]","","","","DAI","Destination Agency Identifier","O","ANS","1","*","0","1","ALL","\s","Data","","","","","","","","","","","","","","","","Y","An identifier for the administration or organization designated to receive the transmission","This element has been kept for compatibility with the ANSI/NIST standard, but it is not used in the INTERPOL implementation. If present, it will be ignored.","","nc:OrganizationIdentification","http://niem.gov/niem/niem-core/2.0","niem-xsd:String","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionDestinationOrganization/nc:OrganizationIdentification/nc:IdentificationID","Name of destination agency may be entered in 1.017.","","","",""
"X","1/ORI_1/ANM/OAN","[01.008_01.017-D]","","","","","Transaction Originating Organization (XML)","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","The administration or organization designated to receive the transmission.","","<int-i:TransactionOriginatingOrganization>
   <nc:OrganizationName>FAED</nc:OrganizationName>
   <int-i:LocationCountryISO3166Alpha3Code>FRA</int-i:LocationCountryISO3166Alpha3Code>
</int-i:TransactionOriginatingOrganization>","int-i:TransactionOriginatingOrganization","http://interpol.int/int-i/1.0","int-i:TransactionOrganizationType","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionOriginatingOrganization","","","","",""
"TX","1/ORI","[01.008]","","","","ORI","Originating Agency Identifier","O","ANS","1","*","0","1","ALL","\s","Data","","","","","","","","","","","","","","","","Y","An identifier for the administration or organization originating the transmission","This element has been kept for compatibility with the ANSI/NIST standard, but it is not used in the INTERPOL implementation. If present, it will be ignored.","","nc:OrganizationIdentification","http://niem.gov/niem/niem-core/2.0","niem-xsd:String","itl:PackageInformationRecord/biom:Transaction/int-i:TransactionOriginatingOrganization/nc:OrganizationIdentification/nc:IdentificationID","Name of destination agency may be entered in 1.017.","","","",""
"TX","1/TCN","[01.009]","","","","TCN","Transaction Control Number","M","AN","15","15","1","1","","","Data","","","","\d{14}[A-HJ-NP-RT-Z]","","","","","","","","","","","","Y","Transaction control number as assigned by the originating agency. A unique control number shall be assigned to each transaction. For any transaction that requires a response, the respondent shall refer to this number in communicating with the originating agency.","The TCN format of the INTERPOL’s implementation diverges from the ANSI/NIST standard by not allowing special characters.","<biom:TransactionControlIdentification>
                 <nc:IdentificationID>19125458357684J</nc:IdentificationID>
</biom:TransactionControlIdentification>","biom:TransactionControlIdentification","http://niem.gov/niem/biometrics/1.0","niem-xsd:String","itl:PackageInformationRecord/biom:Transaction/biom:TransactionControlIdentification/nc:IdentificationID","This element is a control number for reference purposes. It should be generated by the computer and shall have the following format:
\begin{displaymath}
YYSSSSSSSSSSSSA
\end{displaymath}
where $YY$ is the year of the transaction, $SSSSSSSSSSSS$ is an twelve-digit serial number, and $A$ is a check character generated by following the procedure given below. Originating agency has to ensure that the TCN is unique and that no other transaction of the agency will have the same TCN.

The number corresponding to the check character is generated using the following formula:
$$check digit = \left[ YY \times 10^{12} + SSSSSSSSSSSS \right]\mod 23$$
where YY and SSSSSSSSSSSS are the numerical values of the last two digits of the year and the serial number respectively.

The check character is then generated from this table:

\begin{tabu}{X[c] X[c] X[c] X[c] X[c] X[c]}
\toprule%
\textbf{Check digit}&\textbf{Check character}&\textbf{Check digit}&\textbf{Check character}&\textbf{Check digit}&\textbf{Check character}\\
\midrule%
 1&A& 9&J&17&T\\%
 2&B&10&K&18&U\\%
 3&C&11&L&19&V\\%
 4&D&12&M&20&W\\%
 5&E&13&N&21&X\\%
 6&F&14&P&22&Y\\%
 7&G&15&Q&0 &Z\\%
 8&H&16&R&  & \\%
\bottomrule
\end{tabu}","","","","<biom:TransactionControlIdentification>
    <nc:IdentificationID>11045467866</nc:IdentificationID>
</biom:TransactionControlIdentification>
or
<biom:TransactionControlIdentification>
    <nc:IdentificationID>19125458357684A</nc:IdentificationID>
</biom:TransactionControlIdentification>"
"TX","1/TCR","[01.010]","","","","TCR","Transaction Control Reference Number","D","AN","15","15","0","1","","","Data","","","","\d{14}[A-HJ-NP-RT-Z]","","","","","[1/TOT ]=”SRE”
[1/TOT ]=”ERR”","","","","","","","","TCN of a previously submitted transaction (used for responses only).","","<biom:TransactionControlReferenceIdentification>
                 <nc:IdentificationID>19125458357683H</nc:IdentificationID>
</biom:TransactionControlReferenceIdentification>","biom:TransactionControlReferenceIdentification","http://niem.gov/niem/biometrics/1.0","niem-xsd:String","itl:PackageInformationRecord/biom:Transaction/biom:TransactionControlReferenceIdentification/nc:IdentificationID","This element shall be used for responses that refer to the TCN of a previous transaction involving an inquiry or other action that required a response. It therefore has the same format as TCN (Field 1.009).","","","","<biom:TransactionControlIdentification>
    <nc:IdentificationID>11045467866</nc:IdentificationID>
</biom:TransactionControlIdentification>
or
<biom:TransactionControlIdentification>
    <nc:IdentificationID>19125458357684A</nc:IdentificationID>
</biom:TransactionControlIdentification>"
"X","1/NSR_1/NTR","[01.011_01.012]","","","","","Transaction Image Resolution Details (XML)","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","A set of resolution values in pixels per mm for a transaction.","","<biom:TransactionImageResolutionDetails>
    <biom:NativeScanningResolutionValue>00.00</biom:NativeScanningResolutionValue>
    <biom:NominalTransmittingResolutionValue>00.00</biom:NominalTransmittingResolutionValue>
</biom:TransactionImageResolutionDetails>","biom:TransactionImageResolutionDetails","http://niem.gov/niem/biometrics/1.0","biom:ImageResolutionType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionImageResolutionDetails","The image resolution details contain the Native Scanning Resolution (Field 1.011, NSR) and the Nominal Transmitting Resolution (Field 1.012, NTR). The values are set to ’00.00’.","","","",""
"T","1/NSR:T","[01.011:T]","","","","NSR","Native Scanning Resolution","M","NS","5","5","1","1","[.]","","Data_T","","","","\d{2}\.\d{2}","","","","","","","","","","","","Y","A native resolution of transaction originator's scanning equipment.","Set to ""00.00"" if there are no Type-4 records in the transaction. This field does not apply to Type-7 records in this version of the standard unless specified as such by the domain or application profile.","20","","","","","","","","",""
"X","1/NSR:X","[01.011:X]","","","","NSR","Native Scanning Resolution (XML)","M","NS","4","5","1","1","[.]","","Data_X","","","{00.00}","\d{1,2}\.\d{2}","","","","","","","","","","","","Y","A native resolution of transaction originator's scanning equipment.","Set to ""00.00"" if there are no Type-4 records in the transaction. This field does not apply to Type-7 records in this version of the standard unless specified as such by the domain or application profile.","<biom:NativeScanningResolutionValue>00.00</biom:NativeScanningResolutionValue>","biom:NativeScanningResolutionValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:decimal","itl:PackageInformationRecord/biom:Transaction/biom:TransactionImageResolutionDetails/biom:NativeScanningResolutionValue","","","","",""
"T","1/NTR:T","[01.012:T]","","","","NTR","Nominal Resolution","M","NS","5","5","1","1","[.]","","Data_T","","","","\d{2}\.\d{2}","","","","","","","","","","","","","Nominal scanning resolution of image(s) being exchanged.","","20","","","","","","","","",""
"X","1/NTR:X","[01.012:X]","","","","NTR","Nominal Resolution (XML)","M","NS","4","5","1","1","[.]","","Data_X","","","{00.00}","\d{1,2}\.\d{2}","","","","","","","","","","","","","Nominal scanning resolution of image(s) being exchanged.","","<biom:NominalTransmittingResolutionValue>00.00</biom:NominalTransmittingResolutionValue>","biom:NominalTransmittingResolutionValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:decimal","itl:PackageInformationRecord/biom:Transaction/biom:TransactionImageResolutionDetails/biom:NominalTransmittingResolutionValue","","","","",""
"TX","1/DOM","[01.013]","SET","2","","DOM","Domain Name","M","","","","1","1","","","Set","","","","","","","","","","","","","","","","","Domain name for Type-2 record implementation.","","<biom:TransactionDomain>
    <biom:DomainVersionNumberIdentification>
        <nc:IdentificationID>0600</nc:IdentificationID>
    </biom:DomainVersionNumberIdentification>
    <biom:TransactionDomainName>INT-I</biom:TransactionDomainName>
</biom:TransactionDomain>","biom:TransactionDomain","http://niem.gov/niem/biometrics/1.0","biom:TransactionDomainType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionDomain","Even though the XSD declares this field as optional, it must be specified in the INTERPOL implementation.

The domain name is ``INT-I’’, the domain version number ``XXYY’’ (XX for major revision, YY for minor revision). The domain version represents the current INTERPOL implementation. 

The current domain version for this implementation is ``0600’’.","","","",""
"TX","1/DOM/DNM","[01.013-A]","A","","","DNM","Domain Name","M^","ANS","1","*","1","1","ALL","\s","Data","","","","","","","","","","","","","","","","","Uniquely identifies agency, entity, or implementation used for formatting the fields of the Type-2 record.","","<biom:TransactionDomainName>INT-I</biom:TransactionDomainName>","biom:TransactionDomainName","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionDomain/biom:TransactionDomainName","The domain name must be set to ``INT-I”, representing the INTERPOL implementation.","","","",""
"TX","1/DOM/DVN","[01.013-B]","B","","","DVN","Domain Version Number","M^","ANS","1","*","1","1","ALL","\s","Data","","","","","","","","","","","","","","","","","Unique version of the particular implementation.","","<biom:DomainVersionNumberIdentification>
    <nc:IdentificationID>0600</nc:IdentificationID>
</biom:DomainVersionNumberIdentification>","biom:DomainVersionNumberIdentification","http://niem.gov/niem/biometrics/1.0","niem-xsd:string","itl:PackageInformationRecord/biom:Transaction/biom:TransactionDomain/biom:DomainVersionNumberIdentification/nc:IdentificationID","Even though the XSD declares this field as optional, it must be specified in the INTERPOL implementation.


The domain version must be set to ``0600”, representing major version 6 and minor version 00 of the INTERPOL implementation.","","","",""
"T","1/GMT:T","[01.014:T]","","","","GMT","Greenwich Mean Time","O","AN","15","15","0","1","","","Data_T","","","","\d{14}Z","","","","","","","","","","","","","Optional field with transaction date and time expressed in terms of Greenwich Mean Time units.","","20070101000001Z","","","","","UTC has replaced GMT as the main reference time scale terminology, but the older terminology is retained in this standard for existing record types .In this standard, field 1.014 shall be taken to mean the UTC value.","","","",""
"X","1/GMT:X","[01.014:X]","","","","GMT","Greenwich Mean Time (XML)","M","ANS","20","20","1","1","[-:]","","Data_X","","","","\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}Z","","","","","","","","","","","","","Optional field with transaction date and time expressed in terms of Greenwich Mean Time units.","","<biom:TransactionUTCDate>
      <nc:DateTime>2007-01-01T00:00:01Z</nc:DateTime>
</biom:TransactionUTCDate>","biom:TransactionUTCDate","http://niem.gov/niem/biometrics/1.0","niem-xsd:date","itl:PackageInformationRecord/biom:Transaction/biom:TransactionUTCDate/nc:DateTime","UTC has replaced GMT as the main reference time scale terminology, but the older terminology is retained in this standard for existing record types. In this standard, field 1.014 shall be taken to mean the UTC value.

Even though the xsd allows to specify a Date instead of a DateTime, DateTime should be prefered.","","","",""
"TX","1/DCS","[01.015]","SET","3","","DCS","Character Encoding","O","","","","0","1","","","Set","","","","","","","","","","","","","","","","","Specifies the character encoding that may appear within this transaction for data with the character type listed as ""U"" or 'user-defined' in the record format tables.","","<biom:TransactionCharacterSetDirectory>
                <biom:CharacterSetCommonNameCode>UTF-8</biom:CharacterSetCommonNameCode>
                <biom:CharacterSetIndexCode>0</biom:CharacterSetIndexCode>
                <biom:CharacterSetVersionIdentification>
                     <nc:IdentificationID>000</nc:IdentificationID>
                </biom:CharacterSetVersionIdentification>
</biom:TransactionCharacterSetDirectory>","biom:TransactionCharacterSetDirectory","http://niem.gov/niem/biometrics/1.0","biom:TransactionCharacterSetType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionCharacterSetDirectory","The default encoding and the only supported one. It is therefore not needed to fill up this field.

Moreover, it should be noted that the fact that the INTERPOL implementation of ANSI/NIST supports UTF-8 character encoding does not imply that the receiving AFIS will also support it. It is hence advised to restrict the characters used to the ASCII ones.

When non-ASCII characters need to be transmitted:
\begin{itemize}
\item the UTF-8 encoding should be used. Other encoding (such as latin-1) are not supported;
\item the capacities of the receiving system must be checked beforehand.
\end{itemize}","","","",""
"TX","1/DCS/CSI","[01.015-A]","A","","","CSI","Character Encoding Set Index","M^","N","1","3","1","1","","","Data","CSI","Opt","{0..4,128..999}","","","","","","","","","","","","","","A character set index number that references an associated character set throughout a transaction.","","<biom:CharacterSetIndexCode>0</biom:CharacterSetIndexCode>","biom:CharacterSetIndexCode","http://niem.gov/niem/biometrics/1.0","biom:CharacterSetIndexCodeType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionCharacterSetDirectory/biom:CharacterSetIndexCode","","","","",""
"TX","1/DCS/CSN","[01.015-B]","B","","","CSN","Character Encoding Set Name","M^","ANS","1","16","1","1","ALL","","Data","CSN","Opt","","","","","","","","","","","","","","","A common name for the character set associated with index number.","","<biom:CharacterSetCommonNameCode>UTF-8</biom:CharacterSetCommonNameCode>","biom:CharacterSetCommonNameCode","http://niem.gov/niem/biometrics/1.0","biom:CharacterSetCommonNameCodeType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionCharacterSetDirectory/biom:CharacterSetCommonNameCode","","","","",""
"TX","1/DCS/CSV","[01.015-C]","C","","","CSV","Character Encoding Set Version","O^","ANS","1","16","0","1","ALL","\s","Data","","","","","","","","","","","","","","","","","Specific version of the character encoding used.","","<biom:CharacterSetVersionIdentification><nc:Identification>000</nc:Identification></biom:CharacterSetVersionIdentification>","biom:CharacterSetVersionIdentification","http://niem.gov/niem/biometrics/1.0","niem-xsd:string","itl:PackageInformationRecord/biom:Transaction/biom:TransactionCharacterSetDirectory/biom:CharacterSetVersionIdentification/nc:IdentificationID","","","","",""
"TX","1/APS","[01.016]","SET","3","","APS","Application Profile Specifications","O","","","","0","0","","","Set","","","","","","","","","","","","","","","","Y","Transaction's conformance with one or more specifications derived from specific implementations of ANSI/NIST (e.g., EBTS, INT-I, etc.)","This field is not to be used in the INTERPOL’s implementation as no profiles have been defined and should not be specified.","","biom:TransactionApplicationProfile","http://niem.gov/niem/biometrics/1.0","biom:TransactionApplicationProfileType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionApplicationProfile","","","","",""
"TX","1/APS/APO","[01.016-A]","A","","","APO","Application Profile Organization","M^","ANS","1","*","1","1","ALL","\s","Data","","","","","","","","","","","","","","","","","Agency or entity responsible for specification.","","","biom:ApplicationProfileOrganizationName","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionApplicationProfile/biom:ApplicationProfileOrganizationName","","","","",""
"TX","1/APS/APN","[01.016-B]","B","","","APN","Application Profile Name","M^","ANS","1","*","1","1","ALL","\s","Data","","","","","","","","","","","","","","","","","Name of specification.","","","biom:ApplicationProfileName","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageInformationRecord/biom:Transaction/biom:TransactionApplicationProfile/biom:ApplicationProfileName","","","","",""
"TX","1/APS/APV","[01.016-C]","C","","","APV","Application Profile Version Number","M^","ANS","1","*","1","1","ALL","\s","Data","","","","","","","","","","","","","","","","","Specific version of specification.","","","biom:ApplicationProfileVersionIdentification","http://niem.gov/niem/biometrics/1.0","niem-xsd:string","itl:PackageInformationRecord/biom:Transaction/biom:TransactionApplicationProfile/biom:ApplicationProfileVersionIdentification/nc:IdentificationID","","","","",""
