"CodeTable","Code","Description","CodeGroup","PrimaryDescription","Notes","OpenIssues"
"ANL","os","Orbitale superius: The highest point on the lower border of the eyebrow","","","",""
"ANL","p","Center point of pupil: Is determined when the head is in the rest position and the eye is looking straight forward","","","",""
"ANL","pa","Postaurale: The most posterior point on the free margin of the ear","","","",""
"ANL","pg","Pogonion: The most anterior midpoint of the chin, located on the skin surface in the front of the identical bony landmark of the mandible","","","",""
"ANL","pi","Palpebrale inferius: The lowest point in the mid-portion of the free margin of each lower eyelid","","","",""
"ANL","po","Porion (soft): The highest point of the upper margin of the cutaneous auditory meatus","","","",""
"ANL","pra","Preaurale: The most anterior point on the ear, located just in front of the helix attachment to the head","","","",""
"ANL","prn","Pronasale: The most protruded point of the apex nasi","","","",""
"ANL","ps","Palpebrale superius: The highest point in the mid-portion of the free margin of each upper eyelid","","","",""
"ANL","sa","Superaurale: The highest point of the free margin of the auricle","","","",""
"ANL","sba","Subaurale: The lowest point of the free margin of the ear lobe","","","",""
"ANL","sbal","Subalare: The point at the lower limit of each alar base, where the alar base disappears into the skin of the upper lip","","","",""
"ANL","sci","Superciliare: The highest point on the upper border in the mid-portion of each eyebrow","","","",""
"ANL","se","Sellion (or subnasion): Is the deepest landmark located on the bottom of the nasofrontal angle (equivalent to the term ""bridge of the nose"")","","","",""
"ANL","sl","Sublabiale: Determines the lower border of the lower lip or the upper border of the chin","","","",""
"ANL","sn","Subnasale: The midpoint of the angle at the columella base where the lower border of the nasal septum and the surface of the upper lip meet","","","",""
"ANL","sto","Stomion: The imaginary point at the crossing of the vertical facial midline and the horizontal labial fissure between gently closed lips, with teeth shut in the natural position","","","",""
"ANL","t","Tragion: The notch on the upper margin of the tragus","","","",""
"ANL","tr","Trichion: The point on the hairline in the midline of the forehead","","","",""
"ANL","v","Vertex: The highest point of head when the head is oriented in Frankfurt Horizon.","","","",""
"ANL","zy","Zygion: The most lateral point of each of the zygomatic bones","","","",""
"AQS","0","Unspecified or unknown","","","AQS = Table 88",""
"AQS","1","Static digital image from an unknown source","","","",""
"AQS","2","Static digital image from a digital still-image camera","","","",""
"AQS","3","Static digital image from a scanner","","","",""
"AQS","4","Single video frame from an unknown source","","","",""
"AQS","5","Single video frame from an analog video camera","","","",""
"AQS","6","Single video frame from a digital video camera","","","",""
"AQS","7","Video sequence from an unknown source","","","",""
"AQS","8","Video sequence from an analog video camera, stored in analog format","","","",""
"AQS","9","Video sequence from an analog video camera, stored in digital format","","","",""
"AQS","10","Video sequence frame from a digital video camera","","","",""
"AQS","11","Computer screen image capture","","","",""
"AQS","12","Analog audio recording device; stored in analog form (such as a phonograph record)","","","",""
"AQS","13","Analog audio recording device; converted to digital","","","",""
"AQS","14","Digital audio recording device","","","",""
"AQS","15","Landline telephone - both sender and receiver","","","",""
"AQS","16","Mobile telephone - both sender and receiver","","","",""
"AQS","17","Satellite telephone - both sender and receiver","","","",""
"AQS","18","Telephone - unknown or mixed sources","","","",""
"AQS","19","Television - NSTC","","","",""
"AQS","20","Television - PAL","","","",""
"AQS","21","Television - Other","","","",""
"AQS","22","Voice-over-internet protocol (VOIP)","","","",""
"AQS","23","Radio transmission: short-wave (specify single side band or continuous wave in FDN)","","","",""
"AQS","24","Radio transmission: amateur radio (specify lower side band or continuous wave in FDN)","","","",""
"AQS","25","Radio transmission: FM (87.5 MHz to 108 MHz)","","","",""
"AQS","26","Radio transmission: long-wave (150 kHz to 519 kHz)","","","",""
"AQS","27","Radio transmission: AM (570 kHz to 1720 kHz)","","","",""
"AQS","28","Radio transmission: Aircraft frequencies","","","",""
"AQS","29","Radio transmission: Ship and coastal station frequencies","","","",""
"AQS","30","Vendor specific capture format","","","",""
"AQS","31","Other","","","",""
"BTY","00000000","No information given","","","BTY = Table 92",""
"BTY","00000001","Multiple biometrics used","","","",""
"BTY","00000004","Voice","","","",""
"BTY","00000020","Retina","","","",""
"BTY","00000040","Hand geometry","","","",""
"BTY","00000080","Signature dynamics","","","",""
"BTY","00000100","Keystroke dynamics","","","",""
"BTY","00000200","Lip movement","","","",""
"BTY","00000400","Thermal face image","","","",""
"BTY","00000800","Thermal hand image","","","",""
"BTY","00001000","Gait","","","",""
"BTY","00002000","Body odor","","","",""
"BTY","00008000","Ear shape","","","",""
"BTY","00010000","Finger geometry","","","",""
"BTY","00040000","Vein pattern","","","",""
"BTYXML","0","No information given","","","BTYXML is based on Table 92 with leading zeros removed.",""
"BTYXML","1","Multiple biometrics used","","","",""
"BTYXML","4","Voice","","","",""
"BTYXML","20","Retina","","","",""
"BTYXML","40","Hand geometry","","","",""
"BTYXML","80","Signature dynamics","","","",""
"BTYXML","100","Keystroke dynamics","","","",""
"BTYXML","200","Lip movement","","","",""
"BTYXML","400","Thermal face image","","","",""
"BTYXML","800","Thermal hand image","","","",""
"BTYXML","1000","Gait","","","",""
"BTYXML","2000","Body odor","","","",""
"BTYXML","8000","Ear shape","","","",""
"BTYXML","10000","Finger geometry","","","",""
"BTYXML","40000","Vein pattern","","","",""
"BYC","C","Circle:  The boundary is defined by two points: the center is defined in the first point, and any point on the circle is defined as the second point.","","","BYC = Table 19",""
"BYC","E","Ellipse:  The boundary is defined by three points: both endpoints of one of the ellipse's axes are defined in the first and second points, and one endpoint from the other axis is defined in the third item.","","","",""
"BYC","P","Polygon:  The boundary is defined as a n-vertex, where 'n' is between 3 and 99. The order of the vertices must be inconsecutive order around the perimeter of the polygon, either clockwise or counterclockwise. No two vertices may occupy the same location. The polygon side defined by the last point and the first point shall complete the polygon. The polygon must be a single plane figure with no sides crossing and no interior holes.","","","",""
"CAR","D","The representation in this Type-20 record is the source of one or more biometric type records, excluding Type-4 and Type-9, which have been derived from it","","","CAR = Table 87",""
"CAR","M","A single biometric type record, excluding Type-4 and Type-9, has been prepared from multiple Type-20 records","","","",""
"CAR","S","The representation in this Type-20 record is the source of another Type-20 record","","","",""
"CEI/AFS","APPF","Acquisition equipment certified as compliant with FBI Appendix F specifications.","","","",""
"CEI/AFS","NONE","Acquisition equipment does not conform with FBI Appendix F specifications.","","","",""
"CGA","JP2","JPEG 2000, ISO/IEC 15444-1:2004 (Lossy)","","","CGA & CGANumeric = Table 15",""
"CGA","JP2L","JPEG 2000, ISO/IEC 15444-1:2004 (Lossless)","","","",""
"CGA","JPEGB","JPEG, ISO/IEC 10918, JFIF 1.02:1992  (Lossy)","","","",""
"CGA","JPEGL","JPEG, ISO/IEC 10918, JFIF 1.02:1992 (Lossless)","","","",""
"CGA","NONE","Uncompressed (Lossless)","","","",""
"CGA","PNG","Portable Network Graphics (Lossless)","","","",""
"CGA","WSQ20","WSQ (Wavelet Scalar Quantization): Version 3.1 (Lossy)","","","WSQ 2.0 is allowable for rolled prints. Versions prior to 3.1 shall not be used for other impression types.",""
"CGANumeric","0","Uncompressed","","","",""
"CGANumeric","1","WSQ20","","","",""
"CGANumeric","2","JPEG ISO/IEC 10918  (Lossy)","","","Codes 2 and 3 are retained solely for backwards compatibility with those legacy systems that use JPEG compression and should not normally be used.",""
"CGANumeric","3","JPEG ISO/IEC 10918 (Lossless)","","","Codes 2 and 3 are retained solely for backwards compatibility with those legacy systems that use JPEG compression and should not normally be used.",""
"CGANumeric","4","JPEG 2000, ISO/IEC 15444-1:2004 (Lossy)","","","",""
"CGANumeric","5","JPEG 2000, ISO/IEC 15444-1:2004 (Lossless)","","","",""
"CGANumeric","6","Portable Network Graphics (Lossless)","","","",""
"CLD/TPD","DIP","Distal interphalangeal crease","","","CLD/TPD = Table 46. DIP = Finger between medial and distal segments, or Thumb between proximal and distal segments.",""
"CLD/TPD","DTC","Distal transverse crease (top palm crease)","","","Palm at base of interdigital area",""
"CLD/TPD","PDC00","Proximal digital crease, unknown finger","","","Codes PDC00 - PDC17: Finger or Thumb at Palm. The 2-digit position code for the relevant finger, selected from Table 8 is appended to the string PDC (e.g., PDC01-PDC10, PDC16, PDC17). The fingerprint position code is 00 if the finger position cannot be determined.",""
"CLD/TPD","PDC01","Proximal digital crease, right thumb","","","",""
"CLD/TPD","PDC02","Proximal digital crease, right index finger","","","",""
"CLD/TPD","PDC03","Proximal digital crease, right middle finger","","","",""
"CLD/TPD","PDC04","Proximal digital crease, right ring finger","","","",""
"CLD/TPD","PDC05","Proximal digital crease, right little finger","","","",""
"CLD/TPD","PDC06","Proximal digital crease, left thumb","","","",""
"CLD/TPD","PDC07","Proximal digital crease, left index finger","","","",""
"CLD/TPD","PDC08","Proximal digital crease, left middle finger","","","",""
"CLD/TPD","PDC09","Proximal digital crease, left ring finger","","","",""
"CLD/TPD","PDC10","Proximal digital crease, left little finger","","","",""
"CLD/TPD","PDC16","Proximal digital crease, right extra digit","","","",""
"CLD/TPD","PDC17","Proximal digital crease, left extra digit","","","",""
"CLD/TPD","PIP","Proximal interphalangeal crease","","","Finger between proximal and medial segments",""
"CLD/TPD","PTC","Proximal transverse crease (middle palm crease)","","","Diagonal across palm",""
"CLD/TPD","RLC","Radial longitudinal crease (bottom palm crease)","","","Palm around base of thumb (thenar)",""
"CLD/TPD","WC","Wrist crease (wrist bracelet)","","","",""
"COL","BLACK","Black","","","COL = Table 68",""
"COL","BLUE","Blue","","","",""
"COL","BROWN","Brown","","","",""
"COL","GRAY","Gray","","","",""
"COL","GREEN","Green","","","",""
"COL","MULTI","Multi-colored","","","",""
"COL","ORANGE","Orange","","","",""
"COL","OUTLINE","Outlined","","","",""
"COL","PURPLE","Purple","","","",""
"COL","RED","Red","","","",""
"COL","WHITE","White","","","",""
"COL","YELLOW","Yellow","","","",""
"COPR","1","Biological child","","","COPR = Table 81",""
"COPR","2","Biological father","","","",""
"COPR","3","Biological mother","","","",""
"COPR","4","Biological sibling","","","",""
"COPR","5","Maternal relative","","","",""
"COPR","6","Paternal relative","","","",""
"COPR","7","Other/Unknown","","","",""
"CPF/CFN","320","Cores","","","CPR/CFN = Table 54",""
"CPF/CFN","321","Deltas","","","",""
"CPF/CFN","324","Distinctive Characteristics","","","",""
"CPF/CFN","331","Minutiae","","","",""
"CPF/CFN","340","Dots","","","",""
"CPF/CFN","341","Incipient Ridges","","","",""
"CPF/CFN","342","Creases and Linear Discontinuities","","","",""
"CPF/CFN","343","Ridge Edge Features","","","",""
"CPF/CFN","345","Pores","","","",""
"CPF/CFN","373","Ridge Path Segments","","","",""
"CPF/TOC","DF","Possible or debatable correspondence (Feature)","","","CPF/TOC = Table 55. DF = The labeled feature may debatably correspond to the feature defined by the Field Number and Field
Occurrence information items. (X and Y information items are unused).",""
"CPF/TOC","DP","Possible or debatable correspondence (Point)","","","The labeled feature may debatably correspond to the location with the coordinates defined in the X,Y information items. (Field Number and Field Occurrence information items are unused).",""
"CPF/TOC","F","Definite correspondence (Feature)","","","The labeled feature definitely corresponds to the specific feature defined by the Field Number and Field Occurrence information items. (X and Y information items are unused).",""
"CPF/TOC","P","Definite correspondence (Point)","","","The labeled feature definitely corresponds to the location with the coordinates defined in the X,Y information items. (Field Number and Field Occurrence information items are unused)",""
"CPF/TOC","R","Inconclusive (Out of region)","","","The labeled feature is not visible in the impression because it lies outside of the area of correspondence for this image: the feature may or may not be present, but the impression does not include the relevant area (X, Y, Field Number, and Field Occurrence information items are unused)",""
"CPF/TOC","U","Inconclusive (Unclear area)","","","The labeled feature is not visible in the impression because the potentially corresponding region is not sufficiently clear: the feature may or may not be
present, but local quality issues prevent a definite determination. (X, Y, Field Number, and Field Occurrence information items are unused)",""
"CPF/TOC","X","Definite lack of correspondence","","","The labeled feature definitely does not exist in the impression, and the consistency of presentation of the potentially corresponding region is sufficient to  aka a definite determination. (X, Y, Field Number, and Field Occurrence information items are unused)",""
"CPR/CPM","0","Uppermost point of the ridge with greatest curvature","","","CPR/CPM = Table 41. For code ""0"": For a fingerprint with a known or estimated orientation, the center point is determined by finding the highest point of each ridge that is convex and pointing upward, and measuring the curvature/peak angle by following the ridge 1.63 mm (0.064 in) in both directions from that point. The point with the minimum angle (greatest curvature) is the center point of reference.",""
"CPR/CPM","1","Overall fingerprint focal point","","","The overall fingerprint focal point is the point where the lines perpendicular to ridge flow converge.",""
"CPR/CPM","H","Human estimate of finger center","","","Human estimation of the approximate center of distal fingerprint pad, used when methods 0 or 1 are not practical.",""
"CPR/CPM","L","Lateral center only","","","The center location is defined laterally (across the finger) but is not meaningful in the other dimension (longitudinally, or along the finger), such as for defining the center line of arches, tips, and lower joints. Lateral center is only meaningful if the orientation (Field 9.301: EFS orientation / ORT) is known; the point marked is the center with respect to the orientation angle.",""
"CSI","0","7-bit ASCII (Default)","","","CSI = Table 4",""
"CSI","2","16 bit Unicode","","","",""
"CSI","3","8-bit Unicode","","","",""
"CSI","4","32-bit Unicode","","","",""
"CSN","ASCII","7-bit ASCII (Default)","","","CSN = Table 4",""
"CSN","UTF-16","16 bit Unicode","","","",""
"CSN","UTF-32","32-bit Unicode","","","",""
"CSN","UTF-8","8-bit Unicode","","","",""
"CSP","GRAY","Grayscale (monochrome)","","","CSP = Table 16",""
"CSP","RGB","Undetermined color space for an RGB image","","","",""
"CSP","SRGB","sRGB (IEC 61966-2-1)","","","",""
"CSP","SYCC","YCbCr (JPEG 2000 compressed)","","","",""
"CSP","UNK","Undefined","","","",""
"CSP","YCC","YCbCr (legacy)","","","",""
"DEL/DTP","","Other delta","Other delta","","DEL/DTP = Table 40. This code means no value (not a space) and is any other delta or delta-like structure in a friction ridge impression.",""
"DEL/DTP","C","Carpal delta","Palm delta","","The delta at the base of the palm where the thenar and hypothenar meet.",""
"DEL/DTP","I00","Interdigital delta, unknown finger","Palm delta","","I00 through I17 are the deltas at the base of the fingers in the interdigital areas. The finger number shall be noted if known (2 to 5, 7 to 10, or 16 or 17, selected from Table 8 Friction ridge position code & recommended image dimensions), else set to 0. Note that thumbs do not have interdigital deltas.",""
"DEL/DTP","I02","Interdigital delta under right index finger","Palm delta","","",""
"DEL/DTP","I03","Interdigital delta under right middle finger","Palm delta","","",""
"DEL/DTP","I04","Interdigital delta under right ring finger","Palm delta","","",""
"DEL/DTP","I05","Interdigital delta under right little finger","Palm delta","","",""
"DEL/DTP","I07","Interdigital delta under left index finger","Palm delta","","",""
"DEL/DTP","I08","Interdigital delta under left middle finger","Palm delta","","",""
"DEL/DTP","I09","Interdigital delta under left ring finger","Palm delta","","",""
"DEL/DTP","I10","Interdigital delta under left little finger","Palm delta","","",""
"DEL/DTP","I16","Interdigital delta under right extra digit","Palm delta","","",""
"DEL/DTP","I17","Interdigital delta under left extra digit","Palm delta","","",""
"DEL/DTP","L","Left fingerprint delta","Fingerprint delta","","The delta to the left of the image for whorls or right loops. For accidentals with more than two deltas, this indicates the leftmost delta.",""
"DEL/DTP","R","Right fingerprint delta","Fingerprint delta","","The delta to the right of the image for whorls or left loops. For accidentals with more than two deltas, this indicates the rightmost delta.",""
"DFO","CB20","NSA IAD Identity and Access Management Branch","","","This is from Type 98 IA data format owner list on the NIST website",""
"DGD","0","Likelihood","","","",""
"DGD","1","Probability","","","",""
"DIS/DIT","CLEAR","Large clear field of ridges; large clear area with no minutiae","","","DIS/DIT = Table 42",""
"DIS/DIT","CORE","Unusually distinctive core area","","","",""
"DIS/DIT","CREASE","Unusually distinctive crease","","","",""
"DIS/DIT","DELTA","Unusually distinctive delta area","","","",""
"DIS/DIT","DYSPLASIA","Dissociated ridges / Dysplasia","","","",""
"DIS/DIT","MINGROUP","Unusual group or cluster of minutiae","","","",""
"DIS/DIT","MINUTIA","Unusually shaped minutia","","","",""
"DIS/DIT","OTHERFEAT","Other unusual features not characterized elsewhere; details should be noted in comments","","","",""
"DIS/DIT","SCAR","Scar","","","",""
"DIS/DIT","WART","Wart or blister","","","",""
"DIST/DSC","Mild","Mild distortion","","","",""
"DIST/DSC","Moderate","Moderate distortion","","","",""
"DIST/DSC","Severe","Severe distortion","","","",""
"DIST/IDK","Barrel","Image appears to be spherized","","","",""
"DIST/IDK","Inflated","Wide angle or fisheye distortion","","","",""
"DIST/IDK","Pincushion","Image pinched at the center or bowed inwards","","","",""
"DIST/IDM","C","Calculated measurement of distortion","","","",""
"DIST/IDM","E","Estimated measurement of distortion","","","",""
"DLS","1","Laboratory DNA processing unit","","","DLS = Table 80",""
"DLS","2","Rapid DNA / mobile processing unit","","","",""
"DLS","3","Other","","","",""
"DLS","4","Unknown","","","",""
"DLS/LTY","G","Government","","","",""
"DLS/LTY","I","Industry","","","",""
"DLS/LTY","O","Other Laboratory","","","",""
"DLS/LTY","U","Unknown","","","",""
"DME","MA","Missing or artificial eye","","","DME = Table 77",""
"DME","UC","Unable to capture image","","","""UC"" should be entered if the eye is physically present, but a usable iris image cannot be captured. An example is when the eye is swollen shut due to injury.",""
"DMM","ASSISTED","Person available to provide assistance to subject submitting the biometric","","","DMM = Table 5",""
"DMM","CONTROLLED","Operator physically controls the subject to acquire the biometric sample","","","",""
"DMM","OBSERVED","Person present to observe operation of the device but provides no assistance","","","",""
"DMM","UNATTENDED","No one present to observe or provide assistance","","","",""
"DMM","UNKNOWN","No information is known","","","",""
"DST","0","Autosomal STR Profile","","","",""
"DST","1","X-STR Profile","","","",""
"DST","2","Y-STR Profile","","","",""
"EAA/AAV","LIMITED","The impression is of limited, marginal, value. It is not of value for individualization, but may be appropriate for exclusion.","","","EAA/AAV = Table 49",""
"EAA/AAV","NONPRINT","The image is not a friction ridge impression.","","","",""
"EAA/AAV","NOVALUE","The impression is of no value, is not appropriate for further analysis, and has no use for potential comparison.","","","",""
"EAA/AAV","VALUE","The impression is of value and is appropriate for further analysis and potential comparison. Sufficient details exist to render an individualization and/or exclusion decision.","","","",""
"EAS","NIR","Near-infrared acquisition; Approx. 700-900 nm","","","EAS = Table 76",""
"EAS","DEFINED","Defined acquisition spectrum, in range of nanometers rounded to the nearest 10nm, e.g. 800 to 830. This option provides the means to specify the acquisition spectrum when known with precision. When this value is used, Field 17.027: Specified spectrum values / SSV shall accompany it. The format of the two information items in that field shall be a 3 or 4-digit integer specifying the minimum of the spectrum range in nanometers, followed by a 3 or 4-digit integer specifying the maximum of the spectrum range in nanometers. The minimum value shall be less than or equal to the maximum value. ","","","",""
"EAS","VIS","Visible full-spectrum acquisition; Approx. 380-750 nm. NOTE: Visible images cannot usually be matched against near infrared images because either no detail, or different detail, of the iris texture is present in a visible light image. Interoperability between VIS and NIR images remains a research issue. VIS images are supported by this standard for supplemental, forensic, and research purposes only. Such use cases may extend to the peri-ocular region.","","","",""
"EAS","RED","Red portion of visible full-spectrum illumination; Approx. 620-750 nm. NOTE: Red light visible images cannot usually be matched against near-infrared images because no detail, noisy detail, or different detail, of the iris texture is present in a red light image. Interoperability between VIS and RED images remains a research issue. RED images are supported by this standard for supplemental, forensic, and research purposes only. Such use cases may extend to the peri-ocular region.","","","",""
"EAS","UNDEFINED","This value shall be used when the effective spectrum is unknown or unavailable, and is not better described by one of the other values.","","","",""
"ECD/EDE","EX_SRC","Exclusion of source","Exclusion","","ECD/EDE = Table 56. EX_SRC = The two impressions originated from different sources of friction ridge skin (e.g., different fingers), but the subject cannot be excluded.",""
"ECD/EDE","EX_SUB","Exclusion of subject","Exclusion","","The two impressions originated from different subjects.",""
"ECD/EDE","INC_C","Inconclusive, but with corresponding features noted","Inconclusive","","No conclusive determination can be made. Corresponding features are present, and no substantive contradictory features are present. The correspondence of features is supportive of the conclusion that the two impressions originated from the same source, but not to the extent sufficient for individualization. This determination should be made if the examiner determines that the impressions are almost certainly from the same source, but cannot make an individualization determination. This is sometimes described as a qualified conclusion.",""
"ECD/EDE","INC_D","Inconclusive, but with dissimilar features noted","Inconclusive","","No conclusive determination can be made. Non-corresponding features are present. The dissimilarity of features is supportive of the conclusion that the two impressions originated from different sources, but not to the extent sufficient for exclusion. This determination should be made if the examiner determines that the impressions are almost certainly not from the same source, but cannot make an exclusion determination. This is sometimes described as a qualified exclusion.",""
"ECD/EDE","INC_I","Inconclusive due to insufficient information","Inconclusive","","Individualization and exclusion are not possible because of insufficient corresponding or contradictory data. This category should be used if the specific other types of inconclusive determinations do not apply.",""
"ECD/EDE","INC_N","Inconclusive due to no overlapping area","Inconclusive","","Individualization and exclusion are not possible because no corresponding or potentially corresponding areas of friction ridge detail are present. This determination should be made if there is sufficient information in the impressions to determine that there are no areas in the impressions to compare, such as when one print is of the left half of a finger and the other is of the right half.",""
"ECD/EDE","INDIV","Individualization","Individualization","","The two impressions originated from the same source.",""
"ECD/EDE","NONE","No determination","No determination","","No determination has been made. (default)",""
"ECD/WIP","FINAL","Determination has been finalized and can be reported","","","",""
"ECD/WIP","PRELIMINARY","Determination has not been finalized","","","",""
"EFSP","0","Image-only profile","","","Table 1 of EFS Profile Spec at http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1134.pdf",""
"EFSP","1","Minimal markup profile","","","",""
"EFSP","2","Quick minutiae search profile","","","",""
"EFSP","3","Detailed markup profile","","","",""
"EFSP","10","Skeleton profile","","","",""
"EFSP","11","Minutiae ridge count profile","","","",""
"EFSP","20","Legacy IAFIS latent feature search profile","","","",""
"EFSP","21","Quick minutiae search profile without image","","","",""
"EFSP","30","Search response profile with all, and corresponding, minutiae","","","",""
"EFSP","31","Search response profile without corresponding minutiae","","","",""
"EFSP","90","Full annotation profile","","","",""
"ELR","0","Image in this record is undefined as to which eye is present","","","",""
"ELR","1","Image in this record is the subject's right eye","","","",""
"ELR","2","Image in this record is the subject's left eye","","","",""
"EOF/FRA","EVA","Evidence of evasion","","","EOF/FRA = Table 50. Evasion includes actions that prevent/lessen the likelihood of matching such as by degrading or obscuring physical characteristics or mutilating fingers",""
"EOF/FRA","FAB","Evidence of fabricated evidence","","","Fabricated evidence is forensic evidence that never existed on the surface from which it was supposedly collected.",""
"EOF/FRA","FOR","Evidence of forged evidence","","","Forged evidence is forensic evidence that was fraudulently placed on the surface from which it was collected, using another mechanism or device than the natural contact with friction ridge skin.",""
"EOF/FRA","SPO","Evidence of spoofing","","","Spoofing includes purposefully attempting to be identified as a different person in a biometric system; techniques include modifying biological characteristics and using fabricated characteristics.",""
"EYE","BLK","Black","","","EYE = Table 17",""
"EYE","BLU","Blue","","","",""
"EYE","BRO","Brown","","","",""
"EYE","GRN","Green","","","",""
"EYE","GRY","Gray","","","",""
"EYE","HAZ","Hazel","","","",""
"EYE","MAR","Maroon","","","",""
"EYE","MUL","Multicolored","","","",""
"EYE","PNK","Pink","","","",""
"EYE","XXX","Unknown","","","",""
"FAP","10","FAP 10 (acquire rolled images = No; min scanning resolution = 490-510 ppi; min image dimensions = .5""x.65""; max compression ratio = 10:1; compression algorithm = WSQ v2.0 or above; simultaneous # fingers = 1; sensor certification = PIV)","","","FAP = Table 12. All FAP levels: 1) allow acquirement of flat images and 2) require a minimum gray level of 256.",""
"FAP","20","FAP 20 (acquire rolled images = No; min scanning resolution = 490-510 ppi; min image dimensions = .6""x.8""; max compression ratio = 10:1; compression algorithm = WSQ v2.0 or above; simultaneous # fingers = 1; sensor certification = PIV)","","","",""
"FAP","30","FAP 30 (acquire rolled images = No; min scanning resolution = 490-510 ppi; min image dimensions = .8""x1.0""; max compression ratio = 10:1; compression algorithm = WSQ v2.0 or above; simultaneous # fingers = 1; sensor certification = PIV)","","","",""
"FAP","40","FAP 40 (acquire rolled images = optional; min scanning resolution = 490-510 ppi; min image dimensions = 1.6""x1.5""; max compression ratio = 15:1; compression algorithm = WSQ v2.0 or above; simultaneous # fingers = 1-2; sensor certification = PIV)","","","",""
"FAP","45","FAP 45 (acquire rolled images = optional; min scanning resolution = 495-505 ppi; min image dimensions = 1.6""x1.5""; max compression ratio = 15:1; compression algorithm = WSQ v2.0 or above; simultaneous # fingers = 1-2; sensor certification = Appendix F)","","","",""
"FAP","50","FAP 50 (acquire rolled images = optional; min scanning resolution = 495-505 ppi; min image dimensions = 2.5""x1.5""; min compression ratio = 15:1; compression algorithm = WSQ v3.1 or above; simultaneous # fingers = 1-3; sensor certification = Appendix F)","","","",""
"FAP","60","FAP 60 (acquire rolled images = optional; min scanning resolution = 495-505 ppi; min image dimensions = 3.2""x3.0""; min compression ratio = 15:1; compression algorithm = WSQ v3.1 or above; simultaneous # fingers = 1-4; sensor certification = Appendix F)","","","",""
"FCC","chin","Chin","","","FCC = Table 18",""
"FCC","eyebottom","Top of lower eye lid","","","",""
"FCC","eyetop","Bottom of upper eye lid","","","",""
"FCC","faceoutline","Face outline includes the entire head, all facial hair, and ears","","","",""
"FCC","lefteyebrow","Curvature of top of subject's left eye socket","","","",""
"FCC","leftnostril","Subject's left nostril","","","",""
"FCC","lowerlipbottom","Bottom of lower lip","","","",""
"FCC","lowerliptop","Top of lower lip","","","",""
"FCC","righteyebrow","Curvature of top of subject's right eye socket","","","",""
"FCC","rightnostril","Subject's right nostril","","","",""
"FCC","upperlipbottom","Bottom of upper lip","","","",""
"FCC","upperliptop","Top of upper lip","","","",""
"FGP","00","Unknown finger (references every finger position from 1 - 10, 16, and 17)","Finger","","FGP = Table 8; codes 0 and 20 together address all friction ridge areas on the hands.",""
"FGP","01","Right thumb","Finger","","",""
"FGP","02","Right index finger","Finger","","",""
"FGP","03","Right middle finger","Finger","","",""
"FGP","04","Right ring finger","Finger","","",""
